STATION / TRAIN NO.,0501,0503,0505,0507,0509,0511,0513,0515,0517,0519,0521,0523
CAPE TOWN,06:00,07:10,07:40,08:50,09:30,10:30,11:30,12:30,13:30,14:10,15:10,16:00
WOODSTOCK,06:03,07:13,07:43,08:53,09:33,10:33,11:33,12:33,13:33,14:13,15:13,16:03
SALT RIVER,06:06,07:16,07:46,08:56,09:36,10:36,11:36,12:36,13:36,14:16,15:16,16:06
KOEBERG RD,06:08,07:18,07:48,08:58,09:38,10:38,11:38,12:38,13:38,14:18,15:18,16:08
MAITLAND,06:10,07:20,07:50,09:00,09:40,10:40,11:40,12:40,13:40,14:20,15:20,16:10
NDABENI,06:13,07:23,07:53,09:03,09:43,10:43,11:43,12:43,13:43,14:23,15:23,16:13
PINELANDS,06:16,07:26,07:56,09:06,09:46,10:46,11:46,12:46,13:46,14:26,15:26,16:16
HAZENDAL,06:18,07:28,07:58,09:08,09:48,10:48,11:48,12:48,13:48,14:28,15:28,16:18
ATHLONE,06:21,07:31,08:01,09:11,09:51,10:51,11:51,12:51,13:51,14:31,15:31,16:21
CRAWFORD,06:23,07:33,08:03,09:13,09:53,10:53,11:53,12:53,13:53,14:33,15:33,16:23
LANSDOWNE,06:25,07:35,08:05,09:15,09:55,10:55,11:55,12:55,13:55,14:35,15:35,16:25
WETTON,06:28,07:38,08:08,09:18,09:58,10:58,11:58,12:58,13:58,14:38,15:38,16:28
OTTERY,06:30,07:40,08:10,09:20,10:00,11:00,12:00,13:00,14:00,14:40,15:40,16:30
SOUTHFIELD,06:34,07:44,08:14,09:24,10:04,11:04,12:04,13:04,14:04,14:44,15:44,16:34
HEATHFIELD,06:38,07:48,08:18,09:28,10:08,11:08,12:08,13:08,14:08,14:48,15:48,16:38
RETREAT,06:40,07:50,08:20,09:30,10:10,11:10,12:10,13:10,14:10,14:50,15:50,16:40
