STATION / TRAIN NO.,0500,0502,0504,0506,0508,0510,0512,0514,0516,0518,0520,0522
RETREAT,06:20,06:50,08:00,08:40,09:40,10:20,11:20,12:20,13:20,14:20,15:10,16:00
HEATHFIELD,06:23,06:53,08:03,08:43,09:43,10:23,11:23,12:23,13:23,14:23,15:13,16:03
SOUTHFIELD,06:26,06:56,08:06,08:46,09:46,10:26,11:26,12:26,13:26,14:26,15:16,16:06
OTTERY,06:29,06:59,08:09,08:49,09:49,10:29,11:29,12:29,13:29,14:29,15:19,16:09
WETTON,06:32,07:02,08:12,08:52,09:52,10:32,11:32,12:32,13:32,14:32,15:22,16:12
LANSDOWNE,06:34,07:04,08:14,08:54,09:54,10:34,11:34,12:34,13:34,14:34,15:24,16:14
CRAWFORD,06:36,07:06,08:16,08:56,09:56,10:36,11:36,12:36,13:36,14:36,15:26,16:16
ATHLONE,06:39,07:09,08:19,08:59,09:59,10:39,11:39,12:39,13:39,14:39,15:29,16:19
HAZENDAL,06:41,07:11,08:21,09:01,10:01,10:41,11:41,12:41,13:41,14:41,15:31,16:21
PINELANDS,06:44,07:14,08:24,09:04,10:04,10:44,11:44,12:44,13:44,14:44,15:34,16:24
NDABENI,06:46,07:16,08:26,09:06,10:06,10:46,11:46,12:46,13:46,14:46,15:36,16:26
MAITLAND,06:49,07:19,08:29,09:09,10:09,10:49,11:49,12:49,13:49,14:49,15:39,16:29
KOEBERG RD,06:51,07:21,08:31,09:11,10:11,10:51,11:51,12:51,13:51,14:51,15:41,16:31
SALT RIVER,06:53,07:23,08:33,09:13,10:13,10:53,11:53,12:53,13:53,14:53,15:43,16:33
WOODSTOCK,06:57,07:27,08:37,09:17,10:17,10:57,11:57,12:57,13:57,14:57,15:47,16:37
CAPE TOWN,07:00,07:30,08:40,09:20,10:20,11:00,12:00,13:00,14:00,15:00,15:50,16:40
