SOUTHERN LINE PUBLIC HOLIDAY TIMETABLE 2026
Simon's Town to Cape Town
Captured as-is from Metrorail / PRASA Southern Line Public Holiday Timetable 2026. '..' = no service.

STATION / TRAIN NO.	0100	0102	0104	0106	0108	0110	0112	0114	0116	0118	0120	0122	0124	0126	0128	0130	0132
SIMON'S TOWN	..	05:30	..	07:10	..	..	08:40	..	10:10	11:33	..	..	14:33	..	16:05	..	..
GLENCAIRN	..	05:36	..	07:16	..	..	08:46	..	10:16	11:39	..	..	14:39	..	16:11	..	..
SUNNY COVE	..	05:45	..	07:25	..	..	08:55	..	10:25	11:48	..	..	14:48	..	16:20	..	..
FISH HOEK	..	05:50	..	07:30	..	..	09:00	..	10:30	11:53	..	..	14:53	..	16:25	..	..
FISH HOEK	05:30	05:50	06:40	07:30	07:50	08:30	09:00	10:00	10:30	11:53	13:00	14:00	14:53	15:30	16:25	16:50	17:10
KALK BAY	05:34	05:54	06:44	07:34	07:54	08:34	09:04	10:04	10:34	11:57	13:04	14:04	14:57	15:34	16:29	16:54	17:14
ST. JAMES	05:36	05:56	06:46	07:36	07:56	08:36	09:06	10:06	10:36	11:59	13:06	14:06	14:59	15:36	16:31	16:56	17:16
MUIZENBERG	05:39	05:59	06:49	07:39	07:59	08:39	09:09	10:09	10:39	12:02	13:09	14:09	15:02	15:39	16:34	16:59	17:19
FALSE BAY	05:41	06:01	06:51	07:41	08:01	08:41	09:11	10:11	10:41	12:04	13:11	14:11	15:04	15:41	16:36	17:01	17:21
LAKESIDE	05:43	06:03	06:53	07:43	08:03	08:43	09:13	10:13	10:43	12:06	13:13	14:13	15:06	15:43	16:38	17:03	17:23
STEENBERG	05:45	06:05	06:55	07:45	08:05	08:45	09:15	10:15	10:45	12:08	13:15	14:15	15:08	15:45	16:40	17:05	17:25
RETREAT	05:47	06:07	06:57	07:47	08:07	08:47	09:17	10:17	10:47	12:10	13:17	14:17	15:10	15:47	16:42	17:07	17:27
RETREAT	05:48	06:08	06:58	07:48	08:08	08:48	09:18	10:18	10:48	12:11	13:18	14:18	15:11	15:48	16:43	17:08	17:28
HEATHFIELD	05:51	06:11	07:01	07:51	08:11	08:51	09:21	10:21	10:51	12:14	13:21	14:21	15:14	15:51	16:46	17:11	17:31
DIEP RIVER	05:54	06:14	07:04	07:54	08:14	08:54	09:24	10:24	10:54	12:17	13:24	14:24	15:17	15:54	16:49	17:14	17:34
STEURHOF	05:57	06:17	07:07	07:57	08:17	08:57	09:27	10:27	10:57	12:20	13:27	14:27	15:20	15:57	16:52	17:17	17:37
PLUMSTEAD	05:59	06:19	07:09	07:59	08:19	08:59	09:29	10:29	10:59	12:22	13:29	14:29	15:22	15:59	16:54	17:19	17:39
WITTEBOME	06:01	06:21	07:11	08:01	08:21	09:01	09:31	10:31	11:01	12:24	13:31	14:31	15:24	16:01	16:56	17:21	17:41
WYNBERG	06:03	06:23	07:13	08:03	08:23	09:03	09:33	10:33	11:03	12:26	13:33	14:33	15:26	16:03	16:58	17:23	17:43
KENILWORTH	06:05	06:25	07:15	08:05	08:25	09:05	09:35	10:35	11:05	12:28	13:35	14:35	15:28	16:05	17:00	17:25	17:45
HARFIELD ROAD	06:07	06:27	07:17	08:07	08:27	09:07	09:37	10:37	11:07	12:30	13:37	14:37	15:30	16:07	17:02	17:27	17:47
CLAREMONT	06:09	06:29	07:19	08:09	08:29	09:09	09:39	10:39	11:09	12:32	13:39	14:39	15:32	16:09	17:04	17:29	17:49
NEWLANDS	06:11	06:31	07:21	08:11	08:31	09:11	09:41	10:41	11:11	12:34	13:41	14:41	15:34	16:11	17:06	17:31	17:51
RONDEBOSCH	06:13	06:33	07:23	08:13	08:33	09:13	09:43	10:43	11:13	12:36	13:43	14:43	15:36	16:13	17:08	17:33	17:53
ROSEBANK	06:15	06:35	07:25	08:15	08:35	09:15	09:45	10:45	11:15	12:38	13:45	14:45	15:38	16:15	17:10	17:35	17:55
MOWBRAY	06:17	06:37	07:27	08:17	08:37	09:17	09:47	10:47	11:17	12:40	13:47	14:47	15:40	16:17	17:12	17:37	17:57
OBSERVATORY	06:19	06:39	07:29	08:19	08:39	09:19	09:49	10:49	11:19	12:42	13:49	14:49	15:42	16:19	17:14	17:39	17:59
SALT RIVER	06:22	06:42	07:32	08:22	08:42	09:22	09:52	10:52	11:22	12:45	13:52	14:52	15:45	16:22	17:17	17:42	18:02
WOODSTOCK	06:30	06:50	07:40	08:30	08:50	09:30	10:00	11:00	11:30	12:53	14:00	15:00	15:53	16:30	17:25	17:50	18:10
CAPE TOWN	06:33	06:53	07:43	08:33	08:53	09:33	10:03	11:03	11:33	12:56	14:03	15:03	15:56	16:33	17:28	17:53	18:13
