SOUTHERN LINE PUBLIC HOLIDAY TIMETABLE 2026
Cape Town to Simon's Town
Captured as-is from Metrorail / PRASA Southern Line Public Holiday Timetable 2026. '..' = no service.

STATION / TRAIN NO.	0101	0103	0105	0107	0109	0111	0113	0117	0119	0121	0123	0125	0127	0129	0131	0133	0135
CAPE TOWN	05:30	06:10	06:50	07:20	08:10	08:40	10:00	11:40	12:20	13:00	14:00	14:30	15:10	15:40	16:00	16:50	17:35
WOODSTOCK	05:33	06:13	06:53	07:23	08:13	08:43	10:03	11:43	12:23	13:03	14:03	14:33	15:13	15:43	16:03	16:53	17:38
SALT RIVER	05:41	06:21	07:01	07:31	08:21	08:51	10:11	11:51	12:31	13:11	14:11	14:41	15:21	15:51	16:11	17:01	17:46
OBSERVATORY	05:44	06:24	07:04	07:34	08:24	08:54	10:14	11:54	12:34	13:14	14:14	14:44	15:24	15:54	16:14	17:04	17:49
MOWBRAY	05:46	06:26	07:06	07:36	08:26	08:56	10:16	11:56	12:36	13:16	14:16	14:46	15:26	15:56	16:16	17:06	17:51
ROSEBANK	05:48	06:28	07:08	07:38	08:28	08:58	10:18	11:58	12:38	13:18	14:18	14:48	15:28	15:58	16:18	17:08	17:53
RONDEBOSCH	05:50	06:30	07:10	07:40	08:30	09:00	10:20	12:00	12:40	13:20	14:20	14:50	15:30	16:00	16:20	17:10	17:55
NEWLANDS	05:53	06:33	07:13	07:43	08:33	09:03	10:23	12:03	12:43	13:23	14:23	14:53	15:33	16:03	16:23	17:13	17:58
CLAREMONT	05:55	06:35	07:15	07:45	08:35	09:05	10:25	12:05	12:45	13:25	14:25	14:55	15:35	16:05	16:25	17:15	18:00
HARFIELD ROAD	05:57	06:37	07:17	07:47	08:37	09:07	10:27	12:07	12:47	13:27	14:27	14:57	15:37	16:07	16:27	17:17	18:02
KENILWORTH	05:59	06:39	07:19	07:49	08:39	09:09	10:29	12:09	12:49	13:29	14:29	14:59	15:39	16:09	16:29	17:19	18:04
WYNBERG	06:01	06:41	07:21	07:51	08:41	09:11	10:31	12:11	12:51	13:31	14:31	15:01	15:41	16:11	16:31	17:21	18:06
WITTEBOME	06:03	06:43	07:23	07:53	08:43	09:13	10:33	12:13	12:53	13:33	14:33	15:03	15:43	16:13	16:33	17:23	18:08
PLUMSTEAD	06:05	06:45	07:25	07:55	08:45	09:15	10:35	12:15	12:55	13:35	14:35	15:05	15:45	16:15	16:35	17:25	18:10
STEURHOF	06:07	06:47	07:27	07:57	08:47	09:17	10:37	12:17	12:57	13:37	14:37	15:07	15:47	16:17	16:37	17:27	18:12
DIEP RIVER	06:09	06:49	07:29	07:59	08:49	09:19	10:39	12:19	12:59	13:39	14:39	15:09	15:49	16:19	16:39	17:29	18:14
HEATHFIELD	06:11	06:51	07:31	08:01	08:51	09:21	10:41	12:21	13:01	13:41	14:41	15:11	15:51	16:21	16:41	17:31	18:16
RETREAT	06:13	06:53	07:33	08:03	08:53	09:23	10:43	12:23	13:03	13:43	14:43	15:13	15:53	16:23	16:43	17:33	18:18
RETREAT	06:14	06:54	07:34	08:04	08:54	09:24	10:44	12:24	13:04	13:44	14:44	15:14	15:54	16:24	16:44	17:34	18:19
STEENBERG	06:16	06:56	07:36	08:06	08:56	09:26	10:46	12:26	13:06	13:46	14:46	15:16	15:56	16:26	16:46	17:36	18:21
LAKESIDE	06:18	06:58	07:38	08:08	08:58	09:28	10:48	12:28	13:08	13:48	14:48	15:18	15:58	16:28	16:48	17:38	18:23
FALSE BAY	06:21	07:01	07:41	08:11	09:01	09:31	10:51	12:31	13:11	13:51	14:51	15:21	16:01	16:31	16:51	17:41	18:26
MUIZENBERG	06:23	07:03	07:43	08:13	09:03	09:33	10:53	12:33	13:13	13:53	14:53	15:23	16:03	16:33	16:53	17:43	18:28
ST. JAMES	06:26	07:06	07:46	08:16	09:06	09:36	10:56	12:36	13:16	13:56	14:56	15:26	16:06	16:36	16:56	17:46	18:31
KALK BAY	06:28	07:08	07:48	08:18	09:08	09:38	10:58	12:38	13:18	13:58	14:58	15:28	16:08	16:38	16:58	17:48	18:33
FISH HOEK	06:33	07:13	07:53	08:23	09:13	09:43	11:03	12:43	13:23	14:03	15:03	15:33	16:13	16:43	17:03	17:53	18:38
FISH HOEK	06:33	..	07:53	..	09:13	..	11:03	..	..	14:03	..	15:33	..	..	17:03	..	..
SUNNY COVE	06:38	..	07:58	..	09:18	..	11:08	..	..	14:08	..	15:38	..	..	17:08	..	..
GLENCAIRN	06:47	..	08:07	..	09:27	..	11:17	..	..	14:17	..	15:47	..	..	17:17	..	..
SIMONSTOWN	06:53	..	08:13	..	09:33	..	11:23	..	..	14:23	..	15:53	..	..	17:23	..	..
